Time Stamp (ns since boot),xGyro (rad/s),yGyro (rad/s),zGyro (rad/s), xAccel (g), yAccel (g), zAccel (g), xMag (uT), yMag (uT), zMag (uT), Temp (C), Roll (deg), Pitch (deg), Yaw (deg), Yaw Accuracy (deg)
1002251284845,-9.321064E-4,-0.001298291,-4.828311E-4,0.4381389,0.019153614,9.895236,-34.36287,-0.4421925,-74.53127,N/A,-2.2993913,0.14865513,88.48724,180.0
1002256284267,0.0022636869,0.0029627667,-0.0015480955,0.38067806,0.047884032,9.821015,-34.36287,-0.4421925,-74.53127,N/A,-2.2993913,0.14865503,88.48724,180.0
1002261281702,1.3315806E-4,-2.330266E-4,-4.828311E-4,0.36391866,0.02873042,9.782708,-34.505302,-0.35103855,-74.380745,N/A,-2.297834,0.14977197,88.48729,180.0
1002266281137,0.0011984225,0.0018975022,-0.0015480955,0.41180268,0.02873042,9.830592,-34.505302,-0.35103855,-74.380745,N/A,-2.297834,0.14977166,88.48729,180.0
1002271278577,0.0011984225,0.0018975022,-0.0015480955,0.40701428,0.045489833,9.842564,-34.50519,-0.32709092,-74.26009,N/A,-2.2971191,0.15004115,88.487305,180.0
1002276278037,-9.321064E-4,-2.330266E-4,0.0016476978,0.40222588,0.076614454,9.885659,-34.50519,-0.32709092,-74.26009,N/A,-2.2971191,0.15004073,88.48729,180.0
1002281275508,-9.321064E-4,-2.330266E-4,0.0016476978,0.40701428,0.011971008,9.825804,-34.31083,-0.09501584,-74.051414,N/A,-2.2965584,0.14996323,88.48729,180.0
1002286274994,0.0011984225,-0.0034288198,-4.828311E-4,0.37588966,0.04309563,9.797073,-34.31083,-0.09501584,-74.051414,N/A,-2.2965584,0.14996292,88.48729,180.0
1002291272496,0.0011984225,-0.0034288198,-4.828311E-4,0.39264908,0.019153614,9.813833,-34.09186,0.6730252,-73.54506,N/A,-2.2976007,0.14955918,88.48729,180.0
1002296271995,0.0022636869,0.0018975022,-0.0015480955,0.36152446,0.007182605,9.878476,-34.09186,0.6730252,-73.54506,N/A,-2.2976007,0.14955918,88.48729,180.0
1002301269477,0.0022636869,0.0018975022,-0.0015480955,0.40462008,0.033518825,9.835381,-33.956455,1.6192303,-73.00423,N/A,-2.29855,0.15009567,88.487305,180.0
1002306269004,0.0011984225,-2.330266E-4,0.0016476978,0.38067806,0.023942016,9.873688,-33.956455,1.6192303,-73.00423,N/A,-2.29855,0.15009557,88.487305,180.0
1002311266550,0.0011984225,-0.001298291,-4.828311E-4,0.39264908,0.033518825,9.816227,-33.947147,2.1737099,-72.95483,N/A,-2.2981505,0.1502836,88.487305,180.0
1002316266110,-0.0019973707,8.322378E-4,-4.828311E-4,0.39025488,0.04070143,9.861717,-33.947147,2.1737099,-72.95483,N/A,-2.2981503,0.1502835,88.487305,180.0
1002321263682,-0.0019973707,8.322378E-4,-4.828311E-4,0.39264908,0.021547815,9.895236,-33.94794,2.364531,-73.07567,N/A,-2.2987537,0.15273117,88.48741,180.0
1002326263263,0.0022636869,0.0029627667,-0.0015480955,0.38307226,0.055066638,9.864111,-33.94794,2.364531,-73.07567,N/A,-2.2987537,0.15273117,88.48741,180.0
1002331260855,0.0022636869,0.0029627667,-0.0015480955,0.4165911,0.016759412,9.832987,-33.94794,2.364531,-73.07567,N/A,-2.2985716,0.15280539,88.48741,180.0
1002336260458,0.0011984225,-0.001298291,-4.828311E-4,0.39743748,0.021547815,9.871294,-33.78267,2.425552,-72.87533,N/A,-2.2985713,0.15280508,88.48741,180.0
1002341258085,-9.321064E-4,0.0029627667,5.824333E-4,0.40940848,0.02873042,9.80665,-33.78267,2.425552,-72.87533,N/A,-2.2972867,0.15187111,88.48738,180.0
1002346257723,4.980111E-5,0.0015145397,-0.0010487528,0.39025488,0.05746084,9.92636,-33.526264,2.627774,-72.3534,N/A,-2.2972867,0.15187111,88.48738,180.0
1002351255380,4.980111E-5,-6.1598915E-4,0.001081776,0.38067806,0.04309563,9.785102,-33.38102,3.1543286,-71.75894,N/A,-2.297085,0.15203312,88.48741,180.0
1002356255038,0.0011150655,4.4927528E-4,1.6511598E-5,0.39743748,0.02633622,9.813833,-33.38102,3.1543286,-71.75894,N/A,-2.2970855,0.1520328,88.4874,180.0
1002361252702,0.0011150655,0.0015145397,-0.0010487528,0.41180268,0.016759412,9.813833,-33.38102,3.1543286,-71.75894,N/A,-2.2968507,0.15277775,88.48741,180.0
